customer_id,first_name,last_name,email,city,state,zip
CUST-0001,Jane,Smith,jane.smith@example.com,Seattle,WA,98101
CUST-0002,Priya,Nair,priya.nair@example.com,Austin,TX,78701
CUST-0003,Diego,Santos,diego.santos@example.com,Miami,FL,33101
CUST-0004,Marcus,Lee,marcus.lee@example.com,Toronto,ON,M5H 2N2
CUST-0005,Sara,Kim,sara.kim@example.com,Chicago,IL,60601
CUST-0006,James,Silva,james.silva@example.com,Portland,OR,97201
CUST-0007,Amara,Larsen,amara.larsen@example.com,Denver,CO,80202
CUST-0008,Ethan,Fischer,ethan.fischer@example.com,Phoenix,AZ,85004
CUST-0009,Ava,Costa,ava.costa@example.com,Portland,OR,97201
CUST-0010,James,Nair,james.nair@example.com,Phoenix,AZ,85004
CUST-0011,Amara,Nguyen,amara.nguyen@example.com,Phoenix,AZ,85004
CUST-0012,Hana,Garcia,hana.garcia@example.com,Portland,OR,97201
CUST-0013,James,Becker,james.becker@example.com,Columbus,OH,43215
CUST-0014,Tara,Okafor,tara.okafor@example.com,Miami,FL,33101
CUST-0015,Nina,Costa,nina.costa@example.com,Denver,CO,80202
CUST-0016,James,Garcia,james.garcia@example.com,Austin,TX,78701
CUST-0017,Seth,Patel,seth.patel@example.com,Seattle,WA,98101
CUST-0018,Lucas,Fischer,lucas.fischer@example.com,Atlanta,GA,30303
CUST-0019,Grace,Silva,grace.silva@example.com,Columbus,OH,43215
CUST-0020,Liam,Silva,liam.silva@example.com,Portland,OR,97201
CUST-0021,Carlos,Fischer,carlos.fischer@example.com,Nashville,TN,37201
CUST-0022,Seth,Rossi,seth.rossi@example.com,Newark,NJ,07102
CUST-0023,Tom,Cohen,tom.cohen@example.com,Portland,OR,97201
CUST-0024,Yara,Larsen,yara.larsen@example.com,Boston,MA,02108
CUST-0025,Ian,Rossi,ian.rossi@example.com,Boston,MA,02108
CUST-0026,Jane,Cohen,jane.cohen@example.com,Portland,OR,97201
CUST-0027,Nina,Nguyen,nina.nguyen@example.com,Nashville,TN,37201
CUST-0028,Ines,Okafor,ines.okafor@example.com,Seattle,WA,98101
CUST-0029,Seth,Smith,seth.smith@example.com,Columbus,OH,43215
CUST-0030,Ben,Mendes,ben.mendes@example.com,Phoenix,AZ,85004
CUST-0031,Grace,Haddad,grace.haddad@example.com,Denver,CO,80202
CUST-0032,Lena,Garcia,lena.garcia@example.com,Columbus,OH,43215
CUST-0033,James,Smith,james.smith@example.com,Chicago,IL,60601
CUST-0034,Mia,Nair,mia.nair@example.com,Austin,TX,78701
CUST-0035,Ethan,Alvarez,ethan.alvarez@example.com,Seattle,WA,98101
CUST-0036,Omar,Fischer,omar.fischer@example.com,Phoenix,AZ,85004
CUST-0037,Hana,Lee,hana.lee@example.com,Newark,NJ,07102
CUST-0038,Amara,Mendes,amara.mendes@example.com,Phoenix,AZ,85004
CUST-0039,Amara,Nair,amara.nair@example.com,Denver,CO,80202
CUST-0040,Emma,Lee,emma.lee@example.com,Portland,OR,97201
CUST-0041,Ethan,Lee,ethan.lee@example.com,Columbus,OH,43215
CUST-0042,Sara,Lee,sara.lee@example.com,Austin,TX,78701
CUST-0043,Tara,Rossi,tara.rossi@example.com,Seattle,WA,98101
CUST-0044,Emma,Okafor,emma.okafor@example.com,Phoenix,AZ,85004
CUST-0045,Priya,Garcia,priya.garcia@example.com,Portland,OR,97201
